model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.414405023334598,0.42162451358361336,f1_macro,23.489907264709473,54.8519651889801,1787.340432882309,0.005647182464599609,0.008313894271850586,6.269371032714844,3,True,28
NeuralNetFastAI_BAG_L2,0.41433269325374456,0.42141695342743907,f1_macro,23.484260082244873,54.84365129470825,1781.0710618495941,1.5065338611602783,0.5010025501251221,38.0758421421051,2,True,15
NeuralNetTorch_BAG_L2,0.40503763507558393,0.4126521667130238,f1_macro,23.081253051757812,54.83086705207825,1821.5669167041779,1.1035268306732178,0.4882183074951172,78.57169699668884,2,True,24
NeuralNetFastAI_BAG_L1,0.4017620918214708,0.4016469094366794,f1_macro,2.5162320137023926,0.522864580154419,40.168025970458984,2.5162320137023926,0.522864580154419,40.168025970458984,1,True,1
NeuralNetTorch_r79_BAG_L2,0.39670372723539415,0.4084508084607388,f1_macro,23.19794011116028,54.95487952232361,1777.2257146835327,1.2202138900756836,0.6122307777404785,34.2304949760437,2,True,27
NeuralNetTorch_BAG_L1,0.3943904702966035,0.4110089442161591,f1_macro,1.0665888786315918,0.30570411682128906,130.341796875,1.0665888786315918,0.30570411682128906,130.341796875,1,True,10
WeightedEnsemble_L2,0.3943904702966035,0.4110089442161591,f1_macro,1.0681567192077637,0.31401705741882324,133.34351801872253,0.001567840576171875,0.00831294059753418,3.001721143722534,2,True,14
LightGBMXT_BAG_L1,0.3828448183563904,0.3973556935707008,f1_macro,6.140906095504761,19.607300758361816,48.70663928985596,6.140906095504761,19.607300758361816,48.70663928985596,1,True,2
LightGBMXT_BAG_L2,0.38023310935460025,0.38545929429863524,f1_macro,22.808983325958252,57.21173119544983,1762.2478806972504,0.8312571048736572,2.869082450866699,19.252660989761353,2,True,16
XGBoost_BAG_L1,0.3800802378496988,0.3939829713263128,f1_macro,1.4342660903930664,3.4127516746520996,122.85271620750427,1.4342660903930664,3.4127516746520996,122.85271620750427,1,True,9
LightGBM_BAG_L1,0.3799518999142197,0.3887026639109643,f1_macro,1.767143964767456,7.204597234725952,18.467174768447876,1.767143964767456,7.204597234725952,18.467174768447876,1,True,3
CatBoost_BAG_L2,0.37726291574007736,0.38213347222153665,f1_macro,22.127217054367065,54.51126313209534,2217.14768075943,0.1494908332824707,0.16861438751220703,474.1524610519409,2,True,20
LightGBMLarge_BAG_L1,0.37705725532239387,0.384835604040618,f1_macro,4.844593048095703,15.079777717590332,28.810885906219482,4.844593048095703,15.079777717590332,28.810885906219482,1,True,11
LightGBM_BAG_L2,0.37692895423850564,0.39605892241353285,f1_macro,23.331253051757812,59.33786749839783,1769.9328608512878,1.3535268306732178,4.995218753814697,26.937641143798828,2,True,17
RandomForestGini_BAG_L2,0.37593891541607705,0.3831012212346278,f1_macro,22.28220248222351,56.34573698043823,1755.1962206363678,0.304476261138916,2.0030882358551025,12.201000928878784,2,True,18
CatBoost_r177_BAG_L2,0.3758688684487623,0.37930765797318494,f1_macro,22.071584939956665,54.4157338142395,1824.9011466503143,0.09385871887207031,0.07308506965637207,81.90592694282532,2,True,26
LightGBMLarge_BAG_L2,0.37509626625976594,0.39161062944707775,f1_macro,23.540292501449585,59.93286943435669,1772.7333984375,1.5625662803649902,5.59022068977356,29.738178730010986,2,True,25
RandomForestEntr_BAG_L2,0.37422055098292056,0.3847290700779921,f1_macro,22.30441427230835,56.41983485221863,1757.584421634674,0.3266880512237549,2.077186107635498,14.589201927185059,2,True,19
XGBoost_BAG_L2,0.373304336630439,0.3894599310007128,f1_macro,22.56101107597351,55.00605344772339,1778.6386258602142,0.583284854888916,0.6634047031402588,35.64340615272522,2,True,23
ExtraTreesEntr_BAG_L2,0.36853152586664145,0.3747207008222837,f1_macro,22.486322164535522,56.4109046459198,1746.0803174972534,0.5085959434509277,2.06825590133667,3.0850977897644043,2,True,22
ExtraTreesGini_BAG_L2,0.366339537685674,0.3748376606559018,f1_macro,22.409646034240723,56.39282202720642,1745.9392187595367,0.43191981315612793,2.050173282623291,2.9439990520477295,2,True,21
CatBoost_BAG_L1,0.3628808993157227,0.36904481475740497,f1_macro,0.5293829441070557,0.4147191047668457,1320.2223653793335,0.5293829441070557,0.4147191047668457,1320.2223653793335,1,True,6
NeuralNetTorch_r79_BAG_L1,0.3479129766706206,0.3518512248499688,f1_macro,1.443000078201294,0.4510788917541504,3.6971187591552734,1.443000078201294,0.4510788917541504,3.6971187591552734,1,True,13
RandomForestGini_BAG_L1,0.3466573179730334,0.3483599483126742,f1_macro,0.6912691593170166,1.853243112564087,2.9240689277648926,0.6912691593170166,1.853243112564087,2.9240689277648926,1,True,4
RandomForestEntr_BAG_L1,0.34600926608478644,0.3468126829475519,f1_macro,0.5165910720825195,1.8432037830352783,3.3458240032196045,0.5165910720825195,1.8432037830352783,3.3458240032196045,1,True,5
CatBoost_r177_BAG_L1,0.33179128759177434,0.3324961157245528,f1_macro,0.08633804321289062,0.1371169090270996,19.589975833892822,0.08633804321289062,0.1371169090270996,19.589975833892822,1,True,12
ExtraTreesGini_BAG_L1,0.322335335348635,0.32703800741083816,f1_macro,0.47345399856567383,1.7364568710327148,1.8821680545806885,0.47345399856567383,1.7364568710327148,1.8821680545806885,1,True,7
ExtraTreesEntr_BAG_L1,0.3190625078781008,0.3234108941511495,f1_macro,0.46796083450317383,1.773833990097046,1.986459732055664,0.46796083450317383,1.773833990097046,1.986459732055664,1,True,8
